SampleId,Length,Orange,Black
G201002,22.113,3.78357926598562e-4,0.246815487451129
G201003,21.033,0.102913356034809,0
G201004,21.193,0.0321604237608778,0.0532223483415311
G201005,21.686,0.0218186404338504,0.187161054357422
G201006,20.263,0.122335729600202,0.0329171396140749
G201007,24.29,0.0297010972379871,0.215727077815614
G201008,22.086,0.0324126623786102,0.286353890780679
G201009,22.201,0.0286290831126245,0.177639046538025
G201010,17.805,0.0406734771093454,0.0862656072644722
G201016,21.227,0.0894185899861269,0.0867700844999369
G201017,21.73,0.0192331946020936,0.0886618741329298
G201018,18.576,0.0105940219447597,0.0104679026358936
G201019,21.988,0.0926346323622147,0.0433219825955354
G201020,21.517,0.0496910076932778,0.0930129902888132
G201021,18.968,0.0320343044520116,0.0447092949930634
G201022,21.638,0.00214402825072519,0.175621137596166
G201023,20.687,0,0.324568041367133
G201024,22.143,0.0851305334846765,0.0628704754697944
G201025,21.996,2.52238617732375e-4,0.153802497162316
G201031,20.973,0.063248833396393,0.0425022070879052
G201032,19.646,0.052465632488334,0.116912599318956
G201033,20.049,0.0855088914112751,0.0974902257535629
G201034,22.172,0.0179089418589986,0.111111111111111
G201035,15.836,0.00863917265733384,0.15001891789633
G201036,23.973,0.0261697565897339,0.386744860638164
G201037,19.009,0.04912347080338,0.126245428175054
G201038,22.243,0.096229032664901,0.0747887501576491
G201039,20.619,0.058519359313911,0.130974902257536
G201040,23.141,0.00958506747383024,0.249842350863917
G201046,17.776,0.027620128641695,0.154370034052213
G201047,20.691,0.0385294488586203,0.110291335603481
G201048,21.396,0.0820406104174549,0.0884726951696305
G201049,19.269,0.0630596544330937,0.0921301551267499
G201050,21.644,0.117543195863287,0.0926346323622147
G201051,20.697,0.0317190061798461,0.273048303695296
G201052,16.306,0.0805271787110607,0.261130029007441
G201054,23.027,0.0369529574977929,0.170702484550385
G201055,23.01,0.0307731113633497,0.0793290452768319
G201061,22.378,0.047799218060285,0.107264472190692
G201062,20.364,0.0508260814730735,0.0865809055366377
G201063,18.92,0.0946525413040736,0.18772859124732
G201064,19.68,0.0510152604363728,0.13778534493631
G201065,18.776,0.0250977424643713,0.151217051330559
G201066,20.651,0.16458569807037501,0.0943372430319082
