SampleId,Length
G201002,22.113
G201003,21.033
G201004,21.193
G201005,21.686
G201006,20.263
G201007,24.29
G201008,22.086
G201009,22.201
G201010,17.805
G201016,21.227
G201017,21.73
G201018,18.576
G201019,21.988
G201020,21.517
G201021,18.968
G201022,21.638
G201023,20.687
G201024,22.143
G201025,21.996
G201031,20.973
G201032,19.646
G201033,20.049
G201034,22.172
G201035,15.836
G201036,23.973
G201037,19.009
G201038,22.243
G201039,20.619
G201040,23.141
G201046,17.776
G201047,20.691
G201048,21.396
G201049,19.269
G201050,21.644
G201051,20.697
G201052,16.306
G201054,23.027
G201055,23.01
G201061,22.378
G201062,20.364
G201063,18.92
G201064,19.68
G201065,18.776
G201066,20.651
